statement,source,link,veracity
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180717183606/http://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,False
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,Pants on Fire!
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,False
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Pants on Fire!
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,Mostly True
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/14/bernie-s/bernie-sanders-wrongly-says-donald-trump-never-apo/,False
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/14/bruce-rauner/rauner-distorts-dems-message-illinois-income-tax/,Mostly False
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/13/vicky-hartzler/open-fema-case-remains-hartzler-exaggerates-amount/,Mostly True
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,Pants on Fire!
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,/web/20180106054644/http://www.politifact.com/wisconsin/statements/2017/dec/13/kelda-helen-roys/claim-998-americans-wouldnt-get-tax-cut-under-gop-/,Pants on Fire!
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/12/nancy-pelosi/have-wages-failed-go-donald-trumps-watch/,Mostly False
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/houstonchronicle-tvcom/no-trump-hasnt-fired-justice-departments-rod-rosen/,Pants on Fire!
"A Colgate toothpaste is subject to ""recall.""",Shared This,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/shared/story-misleads-about-fd-triclosan-and-toothpaste/,False
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,False
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/don-blankenship/convicted-w-va-mining-ceo-falsely-says-government-/,Pants on Fire!
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/donald-trump/donald-trump-wrong-black-homeownership-rate-record/,False
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/blog-posting/fake-news-no-roy-moore-accuser-was-not-arrested-ly/,Pants on Fire!
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/,Pants on Fire!
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/chain-email/chain-email-putin-says-minorities-should-adopt-rus/,Pants on Fire!
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,False
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/08/gregg-jarrett/has-fbi-become-americas-secret-police/,Pants on Fire!
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,False
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/08/blog-posting/no-roy-moore-accuser-didnt-tamper-or-forge-yearboo/,Pants on Fire!
"""In the current law, if you report harassment, you're the one that has to go into 20 hours of counseling before you can decide whether you were really harassed.""",Roy Blunt,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/08/roy-blunt/blunt-partially-accurate-senate-sexual-harassment-/,Half-True
"Under the House Republican tax plan, in Wisconsin, ""the median household of four gets about a $2,000 tax cut, on average.""",Paul Ryan,/web/20180106054644/http://www.politifact.com/wisconsin/statements/2017/dec/08/paul-ryan/paul-ryans-partially-accurate-claim-house-tax-bill/,Half-True
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,False
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,Mostly False
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,Mostly True
"""You can’t (end the separation of families at the border) through an executive order.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/trump-changes-course-stops-family-separation-borde/,Full Flop
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,True
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,Mostly True
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180715231626/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,Mostly False
On separating families at the border.,Leah Vukmir,/web/20180715231626/http://www.politifact.com/wisconsin/statements/2018/jun/20/leah-vukmir/has-trump-backer-and-senate-candidate-leah-vukmir-/,Half Flip
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,Mostly False
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-history-far-right-explained/,Mostly False
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/20/common-sense-news/fake-news-says-pope-called-world-wide-gun-confisca/,Pants on Fire!
"Wisconsin is ""49th in the country in internet speed.""",Mike  McCabe,/web/20180715231626/http://www.politifact.com/wisconsin/statements/2018/jun/20/mike-mccabe/wisconsin-gubernatorial-candidate-mike-mccabe-says/,Half-True
Says Kevin Cramer wants to cut Social Security and Medicare to pay for tax cuts.,Senate Majority PAC,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/19/senate-majority-pac/fact-checking-democratic-attack-kevin-cramers-stat/,Half-True
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,False
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/18/ted-cruz/ted-cruz-says-child-parent-separations-border-tied/,Mostly False
"""Crime in Germany is way up.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/donald-trump/donald-trump-wrong-about-crime-germany/,False
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,False
"""The science is clear, under President Trump greenhouse gas emissions are down.""",Environmental Protection Agency,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/environmental-protection-agency/are-greenhouse-emissions-down-under-donald-trump-e/,Half-True
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/gateway-pundit/headline-says-trump-tied-obama-same-point-presiden/,Mostly True
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/18/bruce-rauner/rauners-legionnaires-claim-misses-mark-and-point/,False
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/edward-cox/unemployment-inching-almost-every-county-outside-n/,Mostly True
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,True
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,False
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/17/martha-laning/millions-more-spent-defeat-tammy-baldwin-all-other/,Mostly True
"The Republicans and President Donald Trump ""passed a tax bill that gave 80 percent of its benefits to the top 1 percent.""",Democratic National Committee,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/16/democratic-national-committee/dnc-offers-one-sided-view-who-gets-tax-bills-benef/,Half-True
"""In Trump’s first year as president, job growth slowed to a six-year low.""",Democratic National Committee,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/16/democratic-national-committee/dnc-strains-find-problems-current-job-market/,Half-True
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,False
"""The Legionella bacteria is in most water systems in Illinois.""",Bruce Rauner,/web/20180213195651/http://www.politifact.com/illinois/statements/2018/jan/16/bruce-rauner/rauner-says-legionella-bacteria-most-water-systems/,Half-True
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,False
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/12/donald-trump/trump-wrongly-faults-obama-london-embassy-move/,Mostly False
"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,/web/20180213195651/http://www.politifact.com/georgia/statements/2018/jan/12/keisha-lance-bottoms/atlantas-finances-best-40-years/,Mostly True
"""In Congress, @RonDeSantisFL was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling.""",Gwen Graham,/web/20180213195651/http://www.politifact.com/florida/statements/2018/jan/12/gwen-graham/did-ron-desantis-cast-deciding-vote-against-legisl/,Half-True
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/12/kelda-helen-roys/ahead-2018-election-gov-scott-walker-attacked-spen/,Mostly True
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/11/norm-eisen/donald-trumps-fake-news-awards-could-land-white-ho/,True
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,/web/20180213195651/http://www.politifact.com/north-carolina/statements/2018/jan/10/robin-hayes/nc-gop-gerrymander-strange-looking-monster-drawing/,Mostly False
On expanding offshore oil drilling,Rick Scott,/web/20180213195651/http://www.politifact.com/florida/statements/2018/jan/10/rick-scott/gov-rick-scotts-full-flop-oil-drilling/,Full Flop
On requiring young people to perform national service.,Beto O'Rourke,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/10/beto-orourke/beto-orourke-flip-flops-requiring-public-service-y/,Full Flop
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/10/julian-castro/julian-castro-daca-recipients-employed-school-mili/,Mostly True
