,statement,source,veracity
41,"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,0
42,"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,0
43,"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,0
44,"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0
45,"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1
46,"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0
47,"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0
49,"""George H.W. Bush has died at 94.""",Bloggers,0
50,"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0
51,"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0
52,"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0
53,"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0
54,"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0
55,"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0
56,"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0
57,"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0
58,"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0
59,"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1
60,"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,0
61,"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,0
62,"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,1
63,"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,0
64,"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,0
65,"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,0
66,"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,0
67,"A Colgate toothpaste is subject to ""recall.""",Shared This,0
68,"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,0
69,"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,0
70,"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,0
71,"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,0
72,"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,0
73,"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,0
74,"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,0
75,"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,0
76,"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,0
77,"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,0
80,"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0
81,"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0
82,"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1
84,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1
85,Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1
86,"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0
88,"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0
89,"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,0
90,"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,0
93,"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,0
94,"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,0
95,"""Crime in Germany is way up.""",Donald Trump,0
96,"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,0
98,"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,1
99,"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,0
100,"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,1
101,"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,1
102,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,0
103,"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,1
106,"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,0
108,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,0
109,"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,0
110,"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,1
112,"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,1
113,"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,1
114,"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,0
117,"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,1
119,"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",Donald Trump,0
120,"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",Lou Barletta,0
121,"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",Gordon Hintz,0
122,"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",Tom Luce,0
125,"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,0
126,"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,0
127,"""Hillary Clinton lied many times to the FBI.""",Donald Trump,0
128,"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",Jeff Sessions,1
129,These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,1
130,"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,0
131,"""Simply being in this country without documentation is not a crime""",Kathy Sheehan,1
132,"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,0
134,"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,0
135,"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",Donald Trump,0
138,"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,0
139,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0
140,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0
141,"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",dailynewsforamericans.com,0
142,"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",Donald Trump,0
143,"Wisconsin has ""the fastest-shrinking middle class in the country.""",Mahlon Mitchell,0
145,"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",Donald Trump,0
146,"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,YourNewsWire.com,0
147,"Among states, Missouri ranks ""3rd (in) average yearly growth of high-tech industries.""",Missouri Department of Economic Development,1
148,"""President Trump just saved Christmas for 13 million retirees.""",Reaganwasright,0
150,"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",soutwest-air.com,0
151,"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,0
152,"Says Josh Hawley ""broke his promise to create a Public Corruption Unit to crack down on the pay-to-play culture of Jefferson City.""",Claire McCaskill,0
153,"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,1
154,"The North Carolina bathroom bill ""was really never repealed.""",Pat McCrory,0
156,"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",YourNewsWire.com,0
159,"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,0
160,"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,0
162,"Says Doug Jones ""is for full-term abortion.""",Kayla Moore,0
164,"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,0
165,"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",world-newss.com,0
166,"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,0
167,"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",Nick Schroer,1
169,"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",Roger Falk,0
170,"""Bump stocks are already illegal in the state of New York. You can't buy one.""",Andrew Cuomo,0
171,"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",John Thune,1
174,"Iran’s regime ""every Friday declares war on us.""",Sebastian Gorka,0
175,"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",Greg Abbott,0
176,Bowe Bergdahl wanders off during court-martial,Duffel Blog,0
178,"Californians pay ""the highest electricity bills"" in the nation.",John Cox,0
179,"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",Steve Bannon,0
180,"BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",Reaganwasright,0
181,Donna Brazile knows Seth Rich was murdered by the Clintons,US Political,0
182,"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",Anonymous Caller,0
183,"""When we came into office, we saw that Missouri had 113,000 regulations. That’s more than 7.5 million words; it’s 40 dictionaries worth of regulations.""",Eric  Greitens,1
184,"""Breaking! Roy Moore’s accuser worked for Democratic leaders and is actively campaigning for Moore’s opponent.""",Activist Mommy,0
186,"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",Amanda Carpenter,0
188,"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",Bloggers,0
189,"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",TheLastLineOfDefense.org,0
190,"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",Chris King,1
191,"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",Richard Durbin,0
193,"""Snapchat is shutting down!'",Bloggers,0
195,"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,0
196,"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",Kayleigh McEnany,1
197,"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",Ted Cruz,1
198,"""The Democrats filibustered the legislation that would’ve resulted in this shooter being in federal prison instead of murdering those innocents in that Texas church.""",Ted Cruz,0
200,"Malia Obama was ""among 10 arrested in racist Antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",Bloggers,0
201,"""CPS students are learning and growing faster than 96 percent of students in the United States.""",Chicago Public Schools,1
202,"Since 1965, California has built ""six (college) campuses but 23 prisons.""",Delaine Eastin,0
203,"""Supreme Court issues its first bench warrant ever.""",FreedomJunkshun.com,0
204,"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",Jeff Flake,1
205,"The Republican tax bill ""lets every American keep more of what they earned.""",Kevin McCarthy,0
206,"""The Legislative Ethics Commission continues to function.""",Michael  Madigan,0
207,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,1
210,"Says the University of Florida ""requests to cancel rivalry game"" against Florida State University.",React365.com,0
211,"Chicago is ""the city with the strongest gun laws in our nation.""",Donald Trump,0
212,"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,1
213,"""There are no background checks on long guns (AR15s) in Texas.""",Alyssa Milano,0
214,"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,0
216,"Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",Patrick Morrisey,0
217,"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",FreedomJunkshun.com,0
218,"The diversity visa lottery is ""plagued by fraud.""",David Perdue,1
219,"Charles Francis ""vows to slash funding for parks and open space.""",Nancy McFarlane,0
221,"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",Donald Trump,1
222,"Says Florida ""workers are paid $8.10 an hour, and our current governor (Rick Scott) runs ads bragging about it.""",Philip Levine,0
223,"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",The Creative Resistance,1
224,"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,0
225,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,1
229,"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,1
230,"Says Jake Tapper said Allahu Akbar was a ""beautiful phrase"" after a terrorist attack in New York.",Sebastian Gorka,0
231,Says diversity visa immigrants are not vetted.,Sarah  Huckabee Sanders,0
232,"""We are spending more on affordable housing than we're spending on Dix Park right now.""",Nancy McFarlane,1
234,"""California Democrat Maxine Waters charged on 3 counts.""",Bloggers,0
235,"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",John Cox,0
236,"""Alabama’s Crimson Tide was disqualified from national championship.""",BreakingNews247.net,0
237,"Says actor Morgan Freeman said, ""Jailing Hillary"" is the best way to ""restore public faith in government.""",Bloggers,0
238,"Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",Donald Trump,0
239,"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",New Leadership PAC,1
241,"Says HIV and AIDS rates have spiked ""due to increased heroin and fentanyl use.""",Edward  Markey,0
242,"""Hillary Clinton leaves the country as Mueller indictment is announced.""",FreedomJunkshun.com,0
243,"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",FreedomJunkshun.com,0
245,"The University of Missouri saw ""the biggest drop in enrollment of any major university in the country"" since the 2015 protests.",Eric  Greitens,0
246,"""The six wealthiest people in the world (have) as much wealth as the bottom half of the world’s population, 3.7 billion people.""",Bernie Sanders,1
247,"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",Donald Trump,0
248,"Says Patrick Morrisey ""ran for Congress in NJ as pro-choice.""",Evan Jenkins,0
249,"""Jeff Flake’s office leaks names of those charged in Mueller’s Russian probe.""",Bloggers,0
250,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",Delaine Eastin,1
253,"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",Mark Pocan,1
256,"Says Roy Moore ""has advocated getting the federal government out of health care altogether, which means doing away with Medicaid, which means doing away with Medicare.""",Doug Jones,0
257,"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",Donald Trump,0
258,"""Youngest world leader bans George Soros’s Foundations from Austria.""",Bloggers,0
259,"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",Travis Forward,0
260,"""People who die from a home invasion make up a sad but minuscule .04% of all gun murders in the U.S. And over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them.""",Michael Moore,0
261,"""There are parks in Southeast Raleigh that still don’t have air conditioning in the gym""",Charles Francis,1
265,"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",Pete Hegseth,1
266,"Insurance companies ""have made a fortune with Obamacare.""",Donald Trump,0
267,"""Opioid crisis (is) the worst in ObamaCare expansion states!""",Matt Gaetz,0
268,Sarah Huckabee Sanders dressed up as KKK member on Halloween in 1993.,Bloggers,0
269,"Says Tampa Bay Lightning hockey player J.T. Brown was ""fired after raising fist during national anthem.""",Bloggers,0
270,"""Tulsa school closes after brutal fire.""",React365.com,0
271,"""The KKK was founded as the military arm of the Democratic Party.""",Dane County Republican Party,0
272,"""Seventy-three percent of our veterans are graduating from drug courts. By contrast, I think most of the people in the very good drug court program — the graduation rate’s like 53, 55 percent. The point of that is that drug courts are working for veterans.""",Eric  Greitens,1
273,"""Women in our state will continue to have cost-free access to reproductive health care""",Andrew Cuomo,1
275,"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",Nancy  Pelosi,1
276,"At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson ""stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money -- the $20 million -- to build the building. And she sat down.""",John Kelly,0
279,"An undocumented immigrant ""was arrested on suspicion of arson in (the) Wine Country fires that have killed at least 40 residents.""",Breitbart,0
281,"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",Rahm Emanuel,0
282,"NFL players taking a knee during the national anthem is ""against the law.""",Roy Moore,0
284,"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",Nikki Haley,0
285,"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",Marco Rubio,1
286,"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",Antonio  Villaraigosa,1
288,"""We're the highest developed nation taxed in the world.""",Donald Trump,0
289,"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",Donald Trump,0
290,"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",AsAmericanAsApplePie.org,0
291,"""Job creation fell by 70 percent in Wisconsin in 2016"" under Scott Walker.",Tony Evers,1
292,"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",AsAmericanAsApplePie.org,0
294,"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year — more than $17.9 billion — than at any time in state history.""",Oklahoma Council of Public Affairs,0
295,"""Our tax code has nearly doubled since 1985.""",Roy Blunt,1
298,"""There is a real law in Texas that says it’s illegal to own more than six dildos.""",Colin Jost,1
299,"""A California health care CEO is promising to reduce our prescription drug costs.""",Ohioans Against Deceptive Rx Ballot Issue,0
300,"An Ohio ballot issue would address the fact that ""we’ve gone from paying about $100 for Epipens to over $600 ... We don’t have a choice but to pay it and the drug companies know it.""",Ohio Taxpayers for Lower Drug Prices,0
301,"The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break.""",Paul Ryan,0
302,"The NFL is ""getting massive tax breaks.""",Donald Trump,1
303,"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",Donald Trump,0
304,"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",Casey Cagle,0
305,"A viral image shows LeBron James wearing a T-shirt that reads, ""We march, y’all mad. We sit down, y’all mad. We speak up, y’all mad. We die, y’all silent.""",Viral image,0
306,"Says a proposed $1.05 billion Austin school district bond proposition ""will require no tax rate increase.""",Committee of Austin's Children PAC,1
307,"""Bob Corker gave us the Iran Deal.""",Donald Trump,0
308,"""One in 10 babies born in this country is born in Texas.""",Joyce Mauk,1
309,"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""",Andrew Gillum,0
311,"""Grandparents must pickup up all their grandchildren every weekend no matter what or they will be fined $5,000.""",Bloggers,0
312,"""Loopholes in current law prevent ‘Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",Donald Trump,0
313,"""President Trump signs executive order stripping NFL of ‘non-profit’ status.""",Bloggers,0
314,"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",AsAmericanAsApplePie.org,0
315,"""There have been more than 270 mass shootings in the United States in the last year alone. That’s where four or more are killed.""",Hillary Clinton,0
316,"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",Bruce Rauner,1
317,"Says Winston Churchill said, ""A lie gets halfway around the world before the truth has a chance to get its pants on.""",Colin Kaepernick,0
318,"Trump’s tax plan is ""completely focused on the wealthy and the powerful - not the middle class.""",Charles Schumer,0
319,"Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for 'Mr. and Ms. America, turn in all of your guns,' they would do it.""",Chris Cox,0
320,"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",National Rifle Association,1
322,"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",Chris Taylor,1
323,"""White men have committed more mass shootings than any other group.""",Newsweek,1
324,"""It's time to remove any statue of Margaret Sanger who was a white suprematist (sic), spoke at kkk events & supported by democrats. #prolife""",Andrew Koenig,0
325,"North Carolina has ""the strictest anti-gerrymandering standards in the entire country.""",Phil Berger,0
326,"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can’t study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""",Steve Israel,1
328,"""Celine Dion’s 16-year-old Rene-Charles Angelil’s was among the 58 victims who were killed"" in Las Vegas.",HoustonChronicle-tv.com,0
330,"Says that under the Obamacare law, health insurance ""premiums have increased by more than 105 percent since"" 2013.",John Cornyn,1
332,"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",Hillary Clinton,0
333,"Bryan County, Ga., has ""corrupted voter rolls.""",Public Interest Legal Foundation,0
335,"Says ""the Kardashians donate whopping sum to Las Vegas mass shooting victims""",HoustonChronicle-tv.com,0
336,A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,Bloggers,0
